px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
132.141	14.502	2.24037	0.408325	0.164318	132.092	14.507	132.53	14.458	2.55028	0.74543	0.926968
132.293	14.5063	2.56757	0.371104	0.108947	132.447	14.3423	132.53	14.458	2.55028	0.74543	2.56284
135.011	15.0451	2.91453	0.101616	-0.173541	135.074	15.0475	135.066	15.2513	2.58865	0.863795	1.56151
135.027	15.0326	2.77186	0.0851606	-0.192293	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.693118
137.572	16.1831	2.70257	0.53432	0.263922	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.72525
137.647	16.1658	2.9488	0.482712	0.176291	137.653	16.5145	137.639	16.1592	2.61821	0.974442	1.0517
140.322	17.0261	2.87844	0.277896	-0.104747	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.697831
140.345	17.0295	2.91779	0.271239	-0.111704	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.0692972
142.902	17.9846	2.85471	0.350868	0.0290159	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.207666
142.8	17.9674	2.83182	0.337879	0.00221876	142.626	18.1458	142.868	18.2829	2.65497	1.16346	1.80081
145.373	19.149	2.99388	0.467954	0.0920832	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.222298
145.567	19.1747	3.16761	0.455887	0.0918934	145.789	19.3785	145.51	19.4754	2.66445	1.23795	4.79496
148.25	20.479	3.14805	0.467689	0.0334901	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.0294618
148.221	20.4777	3.04932	0.487409	0.0653685	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.180882
150.683	22.1081	3.1057	0.634589	0.124744	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.0433153
150.669	22.0973	3.19585	0.599863	0.0565688	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.583988
153.406	23.4969	3.20149	0.410622	-0.131682	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.329386
153.378	23.4891	3.0622	0.429717	-0.0977906	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.33871
156.042	24.8016	3.12366	0.432527	-0.0236237	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.0617293
156.025	24.8053	2.96453	0.462486	0.0303118	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.548359
158.856	26.0175	3.27931	0.358037	-0.0795798	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.79152
158.923	26.0253	3.23537	0.355972	-0.0669501	159.014	26.1903	158.827	26.1372	2.66127	1.36157	1.1748
161.457	27.4269	2.9739	0.529269	0.113583	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.797247
161.514	27.4398	2.9994	0.535862	0.129943	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.54434
163.667	28.795	2.64519	0.623556	0.113397	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0.786083
163.921	28.8283	2.96764	0.53888	0.0235649	164.116	29.315	164.155	28.8064	2.64354	1.28825	6.84263
166.768	30.1892	3.34959	0.361418	-0.141893	166.828	30.2062	166.809	30.0721	2.63006	1.22694	1.29157
166.695	30.1727	3.08359	0.394653	-0.0898625	166.748	29.7121	166.809	30.0721	2.63006	1.22694	1.11554
169.138	31.3775	2.82741	0.442962	0.0151508	169.097	31.3717	169.452	31.2706	2.61238	1.15075	0.564166
169.178	31.3829	2.89112	0.435665	0.00593351	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.187075
172.113	32.328	3.28188	0.220637	-0.167174	172.175	32.3404	172.079	32.3873	2.58945	1.06126	1.33139
172.124	32.3185	3.07261	0.213449	-0.170389	172.135	32.6666	172.079	32.3873	2.58945	1.06126	1.31645
174.682	33.4493	2.83007	0.425855	0.104921	174.643	33.4625	174.685	33.4095	2.56021	0.960341	1.06856
174.628	33.4403	2.74907	0.426022	0.107624	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.337298
177.037	34.2183	2.63169	0.300856	-0.0608942	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0.315343
177.076	34.2219	2.61811	0.293228	-0.0659252	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.32739
180.038	35.1135	3.36192	0.281661	-0.0297356	180.145	35.1423	179.799	35.1289	2.47883	0.732949	3.62158
179.813	35.0765	2.82076	0.314668	0.0196474	179.543	35.4767	179.799	35.1289	2.47883	0.732949	5.94923
182.567	35.7492	3.02719	0.204541	-0.0755345	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.365208
182.362	35.7082	2.63111	0.21938	-0.0620763	182.047	36.2626	182.292	35.8114	2.42515	0.611338	4.59422
184.733	36.5057	2.63634	0.348036	0.0750779	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.152361
184.722	36.5125	2.45083	0.372309	0.112897	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.755188
186.951	36.9609	2.34616	0.17494	-0.10603	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.460431
187.098	36.9835	2.48394	0.146271	-0.132147	187.296	36.9375	187.103	36.804	2.29017	0.365145	2.70269
189.456	37.3973	2.54969	0.147467	-0.0372509	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.0986153
189.519	37.4117	2.43809	0.155858	-0.0302786	189.738	36.951	189.401	37.1147	2.20928	0.245623	1.65641
191.746	37.5698	2.36414	0.0338093	-0.0954588	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.07322
191.672	37.5527	2.2241	0.023329	-0.108631	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.607407
193.512	37.2878	1.95152	-0.225522	-0.213663	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	0.602027
193.553	37.3021	2.07297	-0.199033	-0.177963	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.271667
